Config,Time,Speedup,Notes
Sequential,641164021.0,NA,
mergePipe,843514643.0,0.8,
24 - mergePipeFarm,48950138.3333333,13.0983086632748,
24 - mergeFarm,50887362.6666667,12.5996708691683,
24 - mergeFarmPipe,59025927.6666667,10.8624132876116,
20 - mergePipeFarm,62542950.3333333,10.251579395964,
20 - mergeFarm,58617665.6666667,10.9380681353983,
20 - mergeFarmPipe,67527894.3333333,9.49480251575839,
16 - mergePipeFarm,72893974.6666667,8.79584388053948,
16 - mergeFarm,66232315.6666667,9.68053154334576,
16 - mergeFarmPipe,77455620.6666667,8.27782432677513,
12 - mergePipeFarm,90082190,7.1175447777191,
12 - mergeFarm,83537649.3333333,7.67515037970025,
12 - mergeFarmPipe,95693687.6666667,6.70017047763265,
8 - mergePipeFarm,125536835.666667,5.10737758837939,
8 - mergeFarm,115476589.666667,5.55232902920649,
8 - mergeFarmPipe,128153774.666667,5.00308338687405,
4 - mergePipeFarm,234334790.333333,2.73610256542772,
4 - mergeFarm,217024676.666667,2.95433694844195,
4 - mergeFarmPipe,238009060.666667,2.69386391931505,
2 - mergePipeFarm,481068051.333333,1.33279277063389,
2 - mergeFarm,437018930,1.46713100276915,
2 - mergeFarmPipe,486521592.3333333,1.3,
1 - mergePipeFarm,964723325.333333,0.664609224389245,
1 - mergeFarm,890743155,0.719807968661853,
1 - mergeFarmPipe,977689510.0,0.7,
,,,
,,,Config Legend: cores - merge<configuration> 
,,,Time in microseconds
,,,
,,,"100, 1024x1024 images, times averaged over 3 runs"
,,,"This would normally be over ten, but time constraints."
